Designator,Footprint,Quantity,Value,LCSC Part #
B1,BAT-TH_BS-02-A1AJ010,1,BS-02-A1AJ010,C5239862
"C1, C2",C0402,2,12uF,C1547
"C10, C11, C12, C5, C6, C7, C8, C9",C0402,8,0u1F,C1525
C13,C0402,1,GJM1555C1HR80BB01D,C76915
"C3, C4",C0402,2,15pF,C1548
H1,HDR-TH_4P-P2.54-V-M,1,PZ254V-11-04P_C2691448,C2691448
L1,L0402,1,SDCL1005C3N9STDF,C14033
"R1, R2",R0603,2,10k,C25804
RST,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
S1,SENSOR-SMD_HDC1080DMBR,1,HDC1080DMBR,C82227
U1,QFN-48_L6.0-W6.0-P0.40-BL-EP3.8,1,NRF52832-QFAA-R,C77540
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,32MHz,C9009
X2,FC-135R_L3.2-W1.5,1,32.768KHz,C32346
