Designator,Mid X,Mid Y,Rotation,Layer
B1,108.0,-44.5,0.0,top
C1,133.0,-39.0,270.0,top
C10,135.2,-45.5,180.0,top
C11,115.5,-56.2,270.0,top
C12,131.2,-42.5,0.0,top
C13,134.55,-47.25,0.0,top
C2,126.25,-39.2,90.0,top
C3,122.7,-46.2375,0.0,top
C4,122.7,-44.3,0.0,top
C5,127.65,-51.6,180.0,top
C6,123.812501,-39.185,270.0,top
C7,122.7,-42.55,0.0,top
C8,125.0,-39.185,270.0,top
C9,135.2,-44.5,180.0,top
H1,119.27,-32.0,0.0,top
L1,134.55,-48.75,0.0,top
R1,124.25,-54.0,0.0,top
R2,122.25,-52.0,180.0,top
RST,130.0,-32.0,0.0,top
S1,118.0,-55.25,270.0,top
U1,129.1,-47.0,0.0,top
X1,129.65,-38.6,0.0,top
X2,122.000001,-48.8,0.0,top
